Obs Species Weight Length1 Length2 Length3 Height_pc Width_pc Sex
104 Perch 5.9 7.5 8.4 8.8 24 16 NA
105 Perch 32 12.5 13.7 14.7 24 13.6 NA
106 Perch 40 13.8 15 16 23.9 15.2 NA
107 Perch 51.5 15 16.2 17.2 26.7 15.3 NA
108 Perch 70 15.7 17.4 18.5 24.8 15.9 NA
109 Perch 100 16.2 18 19.2 27.2 17.3 NA
110 Perch 78 16.8 18.7 19.4 26.8 16.1 NA
111 Perch 80 17.2 19 20.2 27.9 15.1 NA
112 Perch 85 17.8 19.6 20.8 24.7 14.6 NA
113 Perch 85 18.2 20 21 24.2 13.2 NA
114 Perch 110 19 21 22.5 25.3 15.8 NA
115 Perch 115 19 21 22.5 26.3 14.7 NA
116 Perch 125 19 21 22.5 25.3 16.3 Male
117 Perch 130 19.3 21.3 22.8 28 15.5 Female
118 Perch 120 20 22 23.5 26 14.5 Female
119 Perch 120 20 22 23.5 24 15 NA
120 Perch 130 20 22 23.5 26 15 NA
121 Perch 135 20 22 23.5 25 15 NA
122 Perch 110 20 22 23.5 23.5 17 Female
123 Perch 130 20.5 22.5 24 24.4 15.1 Female
124 Perch 150 20.5 22.5 24 28.3 15.1 Female
125 Perch 145 20.7 22.7 24.2 24.6 15 NA
126 Perch 150 21 23 24.5 21.3 14.8 NA
127 Perch 170 21.5 23.5 25 25.1 14.9 NA
128 Perch 225 22 24 25.5 28.6 14.6 NA
129 Perch 145 22 24 25.5 25 15 NA
130 Perch 188 22.6 24.6 26.2 25.7 15.9 NA
131 Perch 180 23 25 26.5 24.3 13.9 Female
132 Perch 197 23.5 25.6 27 24.3 15.7 NA
133 Perch 218 25 26.5 28 25.6 14.8 NA
134 Perch 300 25.2 27.3 28.7 29 17.9 Female
135 Perch 260 25.4 27.5 28.9 24.8 15 Female
136 Perch 265 25.4 27.5 28.9 24.4 15 NA
137 Perch 250 25.4 27.5 28.9 25.2 15.8 Female
138 Perch 250 25.9 28 29.4 26.6 14.3 NA
139 Perch 300 26.9 28.7 30.1 25.2 15.4 Female
140 Perch 320 27.8 30 31.6 24.1 15.1 Female
141 Perch 514 30.5 32.8 34 29.5 17.7 NA
142 Perch 556 32 34.5 36.5 28.1 17.5 NA
143 Perch 840 32.5 35 37.3 30.8 20.9 Female
144 Perch 685 34 36.5 39 27.9 17.6 Female
145 Perch 700 34 36 38.3 27.7 17.6 Female
146 Perch 700 34.5 37 39.4 27.5 15.9 Female
147 Perch 690 34.6 37 39.3 26.9 16.2 Female
148 Perch 900 36.5 39 41.4 26.9 18.1 Female
149 Perch 650 36.5 39 41.4 26.9 14.5 NA
150 Perch 820 36.6 39 41.3 30.1 17.8 NA
151 Perch 850 36.9 40 42.3 28.2 16.8 Female
152 Perch 900 37 40 42.5 27.6 17 Female
153 Perch 1015 37 40 42.4 29.2 17.6 Female
154 Perch 820 37.1 40 42.5 26.2 15.6 Female
155 Perch 1100 39 42 44.6 28.7 15.4 Female
156 Perch 1000 39.8 43 45.2 26.4 16.1 Female
157 Perch 1100 40.1 43 45.5 27.5 16.3 Female
158 Perch 1000 40.2 43.5 46 27.4 17.7 Male
159 Perch 1000 41.1 44 46.6 26.8 16.3 Female
