"Family","Father","Mother","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","D1","D2","D3","D4","D5","D6","D7","D8","D9","Children","MidParent","Offspring"
"1",78.5,67,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,9,9,NA,NA,NA,NA,NA,NA,4,13.03,10.644
"2",75.5,66.5,13.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,4,11.26,9.47
"3",75,64,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,9.66,9.82
"4",75,64,10.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,7,4.5,3,NA,NA,NA,NA,NA,NA,5,9.66,6.932
"5",75,58.5,12,9,8,NA,NA,NA,NA,NA,NA,NA,6.5,2.5,2.5,NA,NA,NA,NA,NA,NA,6,6.69,6.90333333333333
"6",74,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,1,11.32,10.26
"7",74,68,16.5,14,13,13,NA,NA,NA,NA,NA,NA,10.5,4,NA,NA,NA,NA,NA,NA,NA,6,11.32,12.0266666666667
"8",74,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,8,6,NA,NA,NA,NA,NA,NA,3,10.51,8.82
"9",74.5,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,10.49,6.48
"10",74,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1,9.97,5.94
"11",74,62,14,10,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,6,3.5,3,NA,NA,NA,8,8.08,7.6575
"12",74,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,7.54,5.4
"13",73,67,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,10.28,6.58
"14",73,67,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10.28,7.5
"15",73,66.5,11,10.5,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,3,10.01,9.57866666666667
"16",73,65,12,10.5,10.2,10.2,9.2,NA,NA,NA,NA,NA,8.7,6.5,4.5,3.5,NA,NA,NA,NA,NA,9,9.2,8.57288888888889
"17",73,64.5,14,13,11.5,2.5,NA,NA,NA,NA,NA,NA,6.5,2.3,NA,NA,NA,NA,NA,NA,NA,6,8.93,8.41733333333333
"18",73,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.5,4,NA,NA,NA,NA,NA,NA,3,8.66,5.22
"19",73.2,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,1,8.22,2.916
"20",72.7,69,13.2,13,12.7,NA,NA,NA,NA,NA,NA,NA,10,9,8.5,8,6,NA,NA,NA,NA,8,11.21,10.465
"21",72,68,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8,NA,NA,NA,NA,NA,NA,NA,3,10.32,10.2733333333333
"22",72,67,13,11,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,3,9.78,10.52
"23",72,65,14.2,10.5,9.5,NA,NA,NA,NA,NA,NA,NA,6,5.5,5,5,NA,NA,NA,NA,NA,7,8.7,8.20285714285714
"24",72,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1,8.97,5.94
"25",72,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,2,8.16,4.86
"26",72,63,10.5,10.5,9,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,5,7.62,7.728
"27",72,63,9,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,7.62,6.41333333333333
"28",72,63,13,7,NA,NA,NA,NA,NA,NA,NA,NA,10.5,10,6.5,3,NA,NA,NA,NA,NA,6,7.62,8.73333333333333
"29",72.5,63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.2,6.7,NA,NA,NA,NA,NA,NA,3,8.14,7.704
"30",72,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,7.08,4.32
"31",72.5,62,11,10,10,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,NA,NA,6,7.33,8.04666666666667
"32",72,62,14,12,9,NA,NA,NA,NA,NA,NA,NA,7.5,3.5,NA,NA,NA,NA,NA,NA,NA,5,7.08,9.376
"33",72,62,12,11.5,11.5,10,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,5,7.08,10.728
"34",72,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,1,6.54,6.156
"35",71,69,18,14,13,12,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,5,10.36,12.912
"36",71,67,13.2,13,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,9.28,10.69
"37",71,66,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6.5,NA,NA,NA,NA,NA,NA,4,8.74,8.035
"38",71,66,10,9,8.5,NA,NA,NA,NA,NA,NA,NA,6,4.5,3,NA,NA,NA,NA,NA,NA,6,8.74,7.01333333333333
"39",71,66,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,8.74,9.28
"40",71,66,16,12,11,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,8.74,10.296
"41",71.7,65.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.82,10.5
"42",71,65.5,12,12,11,9,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,6,8.47,9.31333333333333
"43",71.5,65.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,2,8.72,9.308
"44",71.5,65,8.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.45,8.1
"45",71,65,8,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,8.2,6.05333333333333
"46",71,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7.5,6.5,6.5,6,5.5,5,NA,8,7.66,7.155
"47",71.7,64.5,12,11,10.5,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,8.28,10.265
