"word" "freq"
"plastic" 752
"one" 726
"surgery" 689
"nowplaying" 657
"just" 636
"liked" 609
"new" 607
"pharrell" 548
"playing" 533
"swish" 519
"song" 518
"got" 509
"love" 494
"girl" 484
"williams" 479
"feat" 478
"news" 463
"rumors" 457
"rhythm" 450
"minnie" 436
"harris" 420
"added" 414
"mouse" 404
"witness" 397
"calvin" 390
"star" 384
"can" 378
"hollywood" 369
"wowshare" 364
"social" 361
"cover" 357
"sean" 356
"dont" 354
"shes" 341
"get" 336
"big" 330
"media" 322
"night" 321
"live" 318
"aplaylistkaty" 312
"idol" 312
"time" 312
"dream" 310
"walk" 306
"kissed" 304
"think" 302
"horse" 301
"really" 299
"victim" 297
"avideokaty" 290
"american" 288
"will" 283
"skip" 282
"pop" 276
"still" 271
"real" 270
"last" 268
"dark" 266
"fame" 266
"done" 265
"album" 263
"concert" 263
"see" 262
"know" 260
"teenage" 257
"chained" 253
"never" 249
"gets" 240
"nicki" 235
"record" 235
"away" 234
"feels" 234
"late" 234
"friday" 233
"show" 230
"hot" 227
"tour" 226
"listen" 224
"cold" 222
"tough" 222
"people" 220
"best" 217
"world" 211
"conversations" 208
"good" 206
"stella" 206
"artists" 205
"ive" 204
"radio" 204
"vegas" 204
"cant" 202
"always" 201
"ever" 201
"migos" 201
"naked" 201
"perrybig" 201
"songs" 201
"youre" 201
"label" 199
"artist" 197
"katyperry" 197
"gaga" 194
"lady" 192
"tickets" 190
"minaj" 189
"ltbgtkaty" 188
"stealing" 186
"first" 182
"make" 182
"says" 181
"roar" 180
"nude" 178
"perryltbgt" 178
"perryswish" 178
"work" 176
"say" 175
"fillers" 174
"listening" 173
"back" 171
"firework" 171
"day" 166
"look" 166
"perrychained" 166
"want" 165
"life" 164
"perryroar" 164
"juicy" 163
"much" 162
"mccartney" 161
"said" 161
"california" 160
"feel" 160
"girls" 159
"thought" 156
"didnt" 155
"going" 154
"harrisfeels" 153
"perryhey" 152
"year" 151
"habitually" 150
"also" 149
"part" 149
"sex" 147
"marley" 146
"singer" 146
"single" 146
"even" 145
"youtube" 144
"better" 142
"put" 142
"accused" 141
"thats" 141
"finally" 140
"gonna" 140
"free" 134
"perrydark" 132
"artwork" 131
"awake" 127
"okay" 126
"reveals" 126
"gurls" 124
"red" 124
"admits" 123
"audio" 123
"pressure" 121
"feelscalvin" 120
"singing" 120
"old" 119
"right" 119
"thinking" 119
"featuring" 118
"female" 118
"queen" 118
"rihanna" 118
"justin" 117
"keep" 116
"yall" 114
"perryi" 113
"lyrics" 112
"drag" 111
"perryfirework" 111
"great" 110
"made" 110
"please" 110
"eyes" 109
"win" 109
"week" 107
"lol" 106
"today" 106
"fucking" 105
"tgif" 105
"times" 105
"way" 105
"come" 104
"rumours" 104
"someone" 104
"tapings" 104
"tell" 104
"lasers" 103
"sexy" 103
"snoop" 103
"list" 102
"porn" 102
"addresses" 101
"fuck" 100
"lip" 100
"making" 100
"next" 100
"perform" 100
"queens" 100
"gay" 99
"bon" 98
"shit" 98
"ariana" 97
"disney" 97
"snl" 97
"stan" 97
"hit" 96
"take" 96
"celebrity" 95
"miss" 94
"need" 94
"beautiful" 92
"remix" 92
"talking" 92
"wide" 92
"every" 91
"everyone" 91
"pics" 91
"play" 91
"omg" 90
"went" 90
"bad" 89
"perrythe" 89
"actually" 88
"mail" 88
"mccartneys" 88
"pictures" 87
"via" 87
"dogg" 86
"little" 86
"miley" 86
"remember" 86
"satan" 86
"seanfeels" 86
"childhood" 85
"gloss" 85
"god" 85
"hate" 85
"read" 85
"black" 84
"looks" 84
"shows" 84
"another" 83
"birthday" 83
"rock" 83
"thing" 83
"twitter" 83
"well" 83
"aguilera" 82
"hear" 82
"selena" 82
"sing" 82
"buy" 81
"follow" 81
"cause" 80
"doesnt" 80
"mind" 80
"wanna" 80
"clean" 79
"fan" 79
"filler" 79
"isnt" 79
"meet" 79
"name" 79
"coming" 78
"lyric" 78
"saying" 78
"arena" 77
"favorite" 77
"hair" 77
"something" 77
"super" 77
"two" 77
"used" 77
"assets" 76
"cyrus" 76
"marleychained" 76
"perrylast" 76
"watching" 76
"ass" 75
"believe" 75
"full" 75
"let" 75
"watch" 75
"camila" 74
"fake" 74
"mekaty" 74
"perryunconditionally" 74
"tonight" 74
"came" 73
"decline" 73
"famous" 73
"grammys" 73
"guy" 73
"performance" 73
"sure" 73
"hes" 72
"many" 72
"praying" 72
"ill" 70
"los" 70
"slams" 70
"stars" 70
"stung" 70
"top" 70
"woman" 70
"boys" 69
"dallas" 69
"face" 69
"lot" 69
"makes" 69
"medieval" 69
"rest" 69
"ceremony" 68
"claims" 68
"getting" 68
"grande" 68
"party" 68
"perryhot" 68
"polka" 68
"rae" 67
"years" 67
"dance" 66
"online" 66
"appetit" 65
"covergirl" 65
"fashion" 65
"gomez" 65
"nothing" 65
"sales" 65
"seen" 65
"without" 65
"calls" 64
"check" 64
"instagram" 64
"las" 64
"left" 64
"looking" 64
"man" 64
"maybe" 64
"must" 64
"paul" 64
"perryrise" 64
"replay" 64
"shuts" 64
"stop" 64
"version" 64
"already" 63
"britney" 63
"christina" 63
"fans" 63
"find" 63
"hard" 63
"jellyfish" 63
