"Date","Open","High","Low","Close","Volume","Adj.Close"
2014-01-02,37.35,37.4,37.1,37.16,30632200,36.17
2014-01-03,37.2,37.22,36.6,36.91,31134800,35.93
2014-01-06,36.85,36.89,36.11,36.13,43603700,35.17
2014-01-07,36.33,36.49,36.21,36.41,35802800,35.44
2014-01-08,36,36.14,35.58,35.76,59971700,34.81
2014-01-09,35.88,35.91,35.4,35.53,36516300,34.58
2014-01-10,35.9,36.15,35.75,36.04,40548800,35.08
2014-01-13,35.99,36.02,34.83,34.98,45901900,34.05
2014-01-14,34.73,35.88,34.63,35.78,41623300,34.83
2014-01-15,35.9,36.79,35.85,36.76,44812600,35.78
2014-01-16,36.69,37,36.31,36.89,38018700,35.91
2014-01-17,36.83,36.83,36.15,36.38,46267500,35.41
2014-01-21,36.82,36.82,36.06,36.17,31567300,35.21
2014-01-22,36.26,36.32,35.75,35.93,21904300,34.97
2014-01-23,36.09,36.13,35.52,36.06,43954000,35.1
2014-01-24,37.45,37.55,36.53,36.81,76395500,35.83
2014-01-27,36.87,36.89,35.98,36.03,44420800,35.07
2014-01-28,36.12,36.39,35.75,36.27,36205500,35.3
2014-01-29,35.98,36.88,35.9,36.66,52745900,35.68
2014-01-30,36.79,36.88,36.23,36.86,35036300,35.88
2014-01-31,36.95,37.89,36.56,37.84,93162300,36.83
2014-02-03,37.74,37.99,36.43,36.48,64063100,35.51
2014-02-04,36.97,37.19,36.25,36.35,54697900,35.38
2014-02-05,36.29,36.47,35.8,35.82,55814400,34.87
2014-02-06,35.8,36.25,35.69,36.18,35351800,35.22
2014-02-07,36.32,36.59,36.01,36.56,33260500,35.59
2014-02-10,36.63,36.8,36.29,36.8,26767000,35.82
2014-02-11,36.88,37.26,36.86,37.17,32141400,36.18
2014-02-12,37.35,37.6,37.3,37.47,27051800,36.47
2014-02-13,37.33,37.86,37.33,37.61,37635500,36.61
2014-02-14,37.39,37.78,37.33,37.62,31407500,36.62
2014-02-18,37.63,37.78,37.41,37.42,32834000,36.7
2014-02-19,37.22,37.75,37.21,37.51,29750400,36.78
2014-02-20,37.57,37.87,37.4,37.75,27526100,37.02
2014-02-21,37.94,38.35,37.86,37.98,38021300,37.24
2014-02-24,37.69,37.98,37.54,37.69,32085100,36.96
2014-02-25,37.61,37.85,37.35,37.54,30736500,36.81
2014-02-26,37.58,37.74,37.19,37.47,41041800,36.74
2014-02-27,37.45,37.89,37.23,37.86,33903400,37.13
2014-02-28,37.98,38.46,37.82,38.31,41215000,37.57
