"value","Date"
8,2008-01-01
-787,2009-01-01
18,2010-01-01
44,2011-01-01
348,2012-01-01
207,2013-01-01
174,2014-01-01
211,2015-01-01
103,2016-01-01
259,2017-01-01
-81,2008-02-01
-704,2009-02-01
-73,2010-02-01
182,2011-02-01
233,2012-02-01
265,2013-02-01
182,2014-02-01
267,2015-02-01
257,2016-02-01
200,2017-02-01
-55,2008-03-01
-802,2009-03-01
193,2010-03-01
254,2011-03-01
264,2012-03-01
156,2013-03-01
261,2014-03-01
78,2015-03-01
235,2016-03-01
73,2017-03-01
-229,2008-04-01
-704,2009-04-01
221,2010-04-01
323,2011-04-01
72,2012-04-01
179,2013-04-01
311,2014-04-01
282,2015-04-01
174,2016-04-01
175,2017-04-01
-184,2008-05-01
-354,2009-05-01
522,2010-05-01
81,2011-05-01
117,2012-05-01
240,2013-05-01
252,2014-05-01
326,2015-05-01
34,2016-05-01
155,2017-05-01
-154,2008-06-01
-469,2009-06-01
-140,2010-06-01
234,2011-06-01
68,2012-06-01
158,2013-06-01
306,2014-06-01
191,2015-06-01
285,2016-06-01
239,2017-06-01
-213,2008-07-01
-342,2009-07-01
-78,2010-07-01
72,2011-07-01
156,2012-07-01
111,2013-07-01
196,2014-07-01
256,2015-07-01
325,2016-07-01
190,2017-07-01
-277,2008-08-01
-196,2009-08-01
-16,2010-08-01
112,2011-08-01
173,2012-08-01
260,2013-08-01
226,2014-08-01
164,2015-08-01
175,2016-08-01
221,2017-08-01
-443,2008-09-01
-229,2009-09-01
-63,2010-09-01
233,2011-09-01
194,2012-09-01
201,2013-09-01
284,2014-09-01
88,2015-09-01
264,2016-09-01
14,2017-09-01
-475,2008-10-01
-209,2009-10-01
267,2010-10-01
209,2011-10-01
153,2012-10-01
210,2013-10-01
255,2014-10-01
351,2015-10-01
140,2016-10-01
271,2017-10-01
-759,2008-11-01
12,2009-11-01
129,2010-11-01
145,2011-11-01
130,2012-11-01
221,2013-11-01
307,2014-11-01
264,2015-11-01
172,2016-11-01
216,2017-11-01
-707,2008-12-01
-277,2009-12-01
73,2010-12-01
201,2011-12-01
243,2012-12-01
93,2013-12-01
251,2014-12-01
234,2015-12-01
180,2016-12-01
175,2017-12-01
