"year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
2006,18," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",75.0431540173515
2004,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",70.4760196469445
2003,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",130.982177377461
2003,43," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",154.68529299563
2005,50," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.0431540173515
2008,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
2009,44," Male"," Married"," Other"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",169.528538036679
2008,30," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",111.720849360989
2006,41," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
2004,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",128.680488220624
2007,45," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",117.146816914805
2007,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
2005,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.4924795180001
2003,39," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",134.705375118879
2009,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
2009,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
2003,37," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",82.6796372966372
2006,50," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",212.842352315711
2007,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",129.156693004704
2003,37," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",98.5993438603892
2003,38," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",200.543262324662
2005,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",50.406660861266
2009,75," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
2007,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",160.642475408263
2006,38," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",94.0727147457005
2005,49," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",277.601417511009
2006,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.0459576539924
2004,34," Male"," Married"," Other"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",65.1108537153447
2008,57," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",116.265324062503
2003,18," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.4760196469445
