"word" "freq"
"like" "like" 561
"morning" "morning" 492
"get" "get" 469
"good" "good" 394
"day" "day" 392
"need" "need" 372
"drink" "drink" 337
"can" "can" 333
"now" "now" 328
"time" "time" 311
"today" "today" 297
"one" "one" 291
"dont" "dont" 286
"shop" "shop" 252
"love" "love" 249
"drinking" "drinking" 225
"make" "make" 223
"want" "want" 221
"work" "work" 216
"new" "new" 196
"much" "much" 194
"tea" "tea" 185
"know" "know" 181
"ive" "ive" 179
"really" "really" 173
"going" "going" 165
"think" "think" 159
"made" "made" 158
"great" "great" 151
"people" "people" 149
"iced" "iced" 145
"hot" "hot" 144
"youre" "youre" 143
"black" "black" 142
"back" "back" 138
"feel" "feel" 138
"still" "still" 137
"life" "life" 136
"cant" "cant" 135
"every" "every" 134
"right" "right" 134
"also" "also" 133
"best" "best" 133
"first" "first" 129
"free" "free" 127
"see" "see" 127
"even" "even" 126
"getting" "getting" 126
"come" "come" 125
"well" "well" 122
"starbucks" "starbucks" 119
"thats" "thats" 118
"never" "never" 117
"lol" "lol" 116
"way" "way" 116
"better" "better" 115
"take" "take" 113
"someone" "someone" 111
"breakfast" "breakfast" 107
"ill" "ill" 103
"always" "always" 102
"thing" "thing" 102
"two" "two" 101
"little" "little" 100
"stop" "stop" 99
"nice" "nice" 95
"start" "start" 95
"sure" "sure" 95
"home" "home" 94
"try" "try" 94
"makes" "makes" 92
"water" "water" 92
"something" "something" 91
"house" "house" 90
"put" "put" 90
"next" "next" 89
"cups" "cups" 88
"ever" "ever" 88
"favorite" "favorite" 87
"help" "help" 87
"class" "class" 86
"bad" "bad" 83
"caffeine" "caffeine" 83
"chocolate" "chocolate" 81
"happy" "happy" 81
"table" "table" 81
"tuesday" "tuesday" 81
"cold" "cold" 80
"thank" "thank" 80
"use" "use" 80
"sleep" "sleep" 79
"night" "night" 78
"last" "last" 76
"buy" "buy" 75
"thanks" "thanks" 75
"things" "things" 75
"making" "making" 74
"shit" "shit" 74
"yes" "yes" 74
"bring" "bring" 73
"city" "city" 73
"enough" "enough" 73
"food" "food" 72
"please" "please" 72
"another" "another" 71
"check" "check" 71
"late" "late" 71
"say" "say" 71
"without" "without" 71
"place" "place" 70
"enjoy" "enjoy" 68
"give" "give" 68
"days" "days" 67
"milk" "milk" 67
"pot" "pot" 67
"keep" "keep" 66
"lunch" "lunch" 66
"wake" "wake" 66
"break" "break" 65
"delicious" "delicious" 65
"doesnt" "doesnt" 65
"gonna" "gonna" 65
"said" "said" 65
"week" "week" 65
"full" "full" 64
"havent" "havent" 64
"sugar" "sugar" 64
"espresso" "espresso" 63
"find" "find" 63
"long" "long" 63
"nothing" "nothing" 63
"friend" "friend" 62
"look" "look" 62
"already" "already" 61
"join" "join" 61
"theres" "theres" 61
"didnt" "didnt" 60
"friends" "friends" 60
"instead" "instead" 60
"cafe" "cafe" 59
"grab" "grab" 58
"world" "world" 58
"lot" "lot" 57
"talk" "talk" 57
"trying" "trying" 57
"almost" "almost" 56
"around" "around" 56
"girl" "girl" 56
"drank" "drank" 55
"drinks" "drinks" 55
"everyone" "everyone" 55
"spilled" "spilled" 55
"went" "went" 55
"yet" "yet" 55
"actually" "actually" 54
"ready" "ready" 54
"wanna" "wanna" 54
"hope" "hope" 53
"live" "live" 53
"maybe" "maybe" 53
"shops" "shops" 53
"thought" "thought" 53
"white" "white" 53
"away" "away" 52
"read" "read" 52
"big" "big" 51
"book" "book" 51
"kind" "kind" 51
"lets" "lets" 51
"looking" "looking" 51
"man" "man" 51
"may" "may" 51
"run" "run" 51
"beans" "beans" 50
"irish" "irish" 50
"tired" "tired" 50
"warm" "warm" 50
"everything" "everything" 49
"ice" "ice" 49
"let" "let" 49
"taste" "taste" 49
"tomorrow" "tomorrow" 49
"used" "used" 49
"whole" "whole" 49
"office" "office" 48
"open" "open" 48
"order" "order" 48
"stay" "stay" 48
"school" "school" 47
"many" "many" 46
"music" "music" 46
"year" "year" 46
"bar" "bar" 45
"guys" "guys" 45
"literally" "literally" 45
"pretty" "pretty" 45
"win" "win" 45
"amazing" "amazing" 44
"ask" "ask" 44
"ass" "ass" 44
"early" "early" 44
"machine" "machine" 44
"miss" "miss" 44
"tell" "tell" 44
"cream" "cream" 43
"job" "job" 43
"meet" "meet" 43
"old" "old" 43
"perfect" "perfect" 43
"probably" "probably" 43
"real" "real" 43
"beer" "beer" 42
"car" "car" 42
"donuts" "donuts" 42
"hand" "hand" 42
"kuwait" "kuwait" 42
"mean" "mean" 42
"meeting" "meeting" 42
"sip" "sip" 42
"smell" "smell" 42
"anyone" "anyone" 41
"god" "god" 41
"hard" "hard" 41
"might" "might" 41
"mugs" "mugs" 41
"okay" "okay" 41
"sitting" "sitting" 41
"wait" "wait" 41
"working" "working" 41
"coffees" "coffees" 40
"done" "done" 40
"goes" "goes" 40
"needed" "needed" 40
"second" "second" 40
"show" "show" 40
"soon" "soon" 40
"though" "though" 40
"walk" "walk" 40
"watch" "watch" 40
"wish" "wish" 40
"wont" "wont" 40
"art" "art" 39
